ATP ATP_binding_site
Zn Zn_binding_site
active_site active_site
P-loop Walker_A/P-loop
phosphate Walker_A/P-loop
active_site catalytic_residues
ABC ABC_transporter_signature_motif
Walker_B Walker_B
NADP NAD_binding_site
Q-loop Q-loop/lid
D-loop D-loop
catalytic_triad catalytic_triad
active_site putative_active_site
NADP putative_NAD(P)_binding_site
active_site catalytic_site
NADP putative_NAD_binding_site
Nudix nudix_motif
H-loop H-loop/switch_region
allosteric_site Switch_I_region
G2_box G2_box
GTP GTP/Mg2+_binding_site
Mg GTP/Mg2+_binding_site
G1_box G1_box
acyl acyl-activating_enzyme_(AAE)_consensus_motif
NADP NAD(P)_binding_site
active_site substrate_binding_site
ATP ATP-binding_site
P-loop Walker_A_motif
phosphate Walker_A_motif
metal metal_binding_site
DNA DNA_binding_site
peptide polypeptide_substrate_binding_site
NADP NADP_binding_site
PPI dimerization_interface
ATP putative_ATP_binding_site
PPI dimer_interface
active_site catalytic_residue
G3_box G3_box
Ca Ca2+_binding_site
allosteric_site Switch_II_region
G5_box G5_box
FMN FMN_binding_site
FAD FAD_binding_site
active_site putative_catalytic_site
GEF putative_GEF_interaction_site
GAP putative_GAP_interaction_site
cofactor putative_cosubstrate_binding_site
PPI tetramer_interface
RAS putative_RAS_interface
DNA putative_DNA_binding_site
metal metal-binding_site
active_site active_site_
PPI trimer_interface
PPI tetramer_(dimer_of_dimers)_interface
oxyanion_hole oxyanion_hole
Fe iron_binding_site
PPI homotetramer_interface
PPI homodimer_interface
PPI hexamer_interface
Heme heme_binding_site
catalytic_triad putative_catalytic_triad
base catalytic_base
P-loop Walker_A_motif/ATP_binding_site
ATP Walker_A_motif/ATP_binding_site
active_site Substrate_binding_site
allosteric_site putative_effector_interaction_site
active_site putative_catalytic_residues
NADP putative_NADP_binding_site
protein protein_binding_site
nucleophilic_elbow nucleophilic_elbow
Fe ferroxidase_diiron_center
cofactor cosubstrate_binding_site
active_site catalytic_motif
CRISPR-associated CAS_motifs
Zn zinc_binding_site
PPI trimer_interface_B
PPI trimer_interface_A
sugar sugar_binding_site
active_site substrate_binding_pocket
active_site putative_substrate_binding_site
metal putative_metal_binding_site
CoA putative_CoA_binding_site
peptide peptide_binding_pocket
active_site motif_3
allosteric_site inhibitor_binding_site
PPI heterodimer_interface
PPI domain_interface
metal divalent_metal_binding_site
P-loop P-loop
phosphate P-loop
Na Na_binding_site
NADP NAD(P)_binding_pocket
tRNA KMSKS_motif
GAP GAP_interaction_site
Folate G-X-X-G_motif
PPI FS-domain_interface
Ca EF-hand_Ca2+_binding_loops
PPI CapZ_binding_site
active_site Active_site
actin putative_actin_binding_surface
Zn putative_Zn2+_binding_site
Mg putative_Mg++_binding_site
Ca pseudo_EF-hand_loop
phosphate phosphate_binding_site
phosphate phosphagen_binding_site
nucleotide nucleotide_binding_site
nucleotide nucleotide-binding_site
lipid lipoyl_attachment_site
active_site ligand_binding_site
allosteric_site interswitch_region
glycine_loop glycine_loop
active_site catalytic_loop
Zn catalytic_Zn_binding_site
Ca calcium_binding_site_1
active_site active_site_residues
Zn Zn2+_binding_site
Walker_B Walker_B_motif
PPI STAR_motif
SAM S-adenosylmethionine_binding_site
nucleotide NTP_binding_site
PPI N-terminal_domain_interface
Mg Mg2+_binding_site
PPI LDH/MDH_dimer_interface
PPI Isl_binding_site
PPI Hpr_binding_site
amino_acid Glutamate_binding_site
CoA CoA_binding_site
active_site Catalytic_residue
ADP ADP_binding_site
active_site substrate_binding_sites
active_site substrate_binding_residues
Zn structural_Zn_binding_site
DNA_base specific_DNA_base_contacts
DNA_base sequence_specific_DNA_binding_site
active_site receptor-ligand_interactions
active_site putative_substrate_specificity_determinants
active_site putative_substrate_binding_region
active_site putative_receptor_binding_site
phosphate putative_phosphate_binding_site
metal putative_metal_binding_site_
PPI putative_homodimer_interface
PPI putative_domain_interface
PPI putative_dimer_interface
active_site putative_catalytic_site_residues
active_site putative_catalytic_cysteine
cAMP putative_cAMP_binding_site
active_site putative_binding_surface
allosteric_site putative_allosteric_binding_site
active_site putative_active_site_cavity
RNA putative_RNA_binding_site
phosphate putative_P2/P3_phosphate_binding_site
